(node:93508) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
t0 s0 w0 gold=0 hp=100 works=0/0 alive=0 wheel=spin/240 crossings=000 att=0 pros=(-2,-31) decoy=-
t93 s227 w7 gold=31 hp=54 works=9/10 alive=7 wheel=spin/240 crossings=400 att=27 pros=(5,-30) decoy=-3.3,-26.52
t94 s228 w7 gold=31 hp=54 works=9/10 alive=7 wheel=spin/240 crossings=400 att=27 pros=(5,-30) decoy=-3.3,-26.52
t95 s228 w7 gold=1 hp=54 works=12/13 alive=7 wheel=spin/240 crossings=400 att=30 pros=(5,-27) decoy=-3.3,-26.52
t96 s228 w7 gold=1 hp=54 works=11/13 alive=7 wheel=spin/240 crossings=400 att=30 pros=(5,-27) decoy=-3.3,-26.52
t97 s230 w7 gold=1 hp=54 works=11/13 alive=7 wheel=spin/240 crossings=400 att=30 pros=(8,-22) decoy=-3.3,-26.52
t98 s230 w7 gold=1 hp=54 works=11/13 alive=5 wheel=spin/240 crossings=400 att=30 pros=(5,-25) decoy=-3.3,-26.52
t99 s230 w7 gold=1 hp=54 works=10/13 alive=5 wheel=spin/240 crossings=400 att=30 pros=(5,-25) decoy=-3.3,-26.52
t100 s239 w7 gold=31 hp=54 works=10/13 alive=3 wheel=spin/240 crossings=400 att=30 pros=(25,7) decoy=-3.3,-26.52
t101 s240 w8 gold=31 hp=54 works=10/13 alive=18 wheel=spin/240 crossings=400 att=30 pros=(21,2) decoy=-3.3,-26.52
t102 s242 w8 gold=31 hp=54 works=10/13 alive=15 wheel=spin/240 crossings=400 att=30 pros=(16,-4) decoy=-3.3,-26.52
t103 s245 w8 gold=31 hp=54 works=10/13 alive=13 wheel=spin/240 crossings=400 att=30 pros=(7,-16) decoy=-3.3,-26.52
t104 s245 w8 gold=31 hp=54 works=10/13 alive=13 wheel=spin/240 crossings=400 att=30 pros=(7,-16) decoy=-3.3,-26.52
t105 s245 w8 gold=31 hp=54 works=10/13 alive=13 wheel=spin/240 crossings=400 att=30 pros=(6,-16) decoy=-3.3,-26.52
t106 s245 w8 gold=31 hp=54 works=10/13 alive=12 wheel=spin/240 crossings=400 att=30 pros=(5,-17) decoy=-3.3,-26.52
t107 s246 w8 gold=31 hp=54 works=10/13 alive=12 wheel=spin/240 crossings=400 att=30 pros=(4,-19) decoy=-3.3,-26.52
t108 s246 w8 gold=31 hp=54 works=10/13 alive=11 wheel=spin/240 crossings=400 att=30 pros=(4,-19) decoy=-3.3,-26.52
t109 s246 w8 gold=31 hp=54 works=10/13 alive=10 wheel=spin/240 crossings=400 att=30 pros=(3,-21) decoy=-3.3,-26.52
t110 s247 w8 gold=31 hp=54 works=10/13 alive=10 wheel=spin/240 crossings=400 att=30 pros=(1,-22) decoy=-3.3,-26.52
t111 s247 w8 gold=31 hp=54 works=9/13 alive=9 wheel=spin/240 crossings=400 att=30 pros=(1,-23) decoy=-3.3,-26.52
t112 s247 w8 gold=21 hp=54 works=10/14 alive=7 wheel=spin/240 crossings=400 att=30 pros=(0,-24) decoy=-3.3,-26.52
t113 s253 w8 gold=1 hp=54 works=12/16 alive=15 wheel=spin/240 crossings=500 att=33 pros=(-1,-23) decoy=-3.3,-26.52
t114 s253 w8 gold=1 hp=54 works=12/16 alive=15 wheel=spin/240 crossings=500 att=33 pros=(-0,-24) decoy=-3.3,-26.52
t115 s254 w8 gold=1 hp=54 works=12/16 alive=15 wheel=spin/240 crossings=500 att=33 pros=(3,-25) decoy=-3.3,-26.52
t116 s254 w8 gold=1 hp=54 works=12/16 alive=15 wheel=spin/240 crossings=500 att=33 pros=(3,-25) decoy=-3.3,-26.52
t117 s255 w8 gold=1 hp=54 works=12/16 alive=12 wheel=spin/240 crossings=500 att=33 pros=(0,-24) decoy=-3.3,-26.52
t118 s255 w8 gold=1 hp=54 works=12/16 alive=11 wheel=spin/240 crossings=500 att=33 pros=(1,-24) decoy=-3.3,-26.52
t119 s256 w8 gold=1 hp=54 works=12/16 alive=10 wheel=spin/240 crossings=500 att=33 pros=(2,-25) decoy=-3.3,-26.52
