[WebServer] (node:72744) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
[WebServer] (Use `node --trace-warnings ...` to show where the warning was created)

Running 4 tests using 1 worker

(node:72745) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
[f1577-3-sweep] tickBefore=39 tickDelta=22 driftAbs=0.13867948658687812 gapClosed=0.13827232985133975 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=23 driftAbs=0.13867948658687812 gapClosed=0.13827232985133975 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=24 driftAbs=0.16175598906995703 gapClosed=0.16149211259475393 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=25 driftAbs=0.16175598906995703 gapClosed=0.16149211259475393 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=26 driftAbs=0.16175598906995703 gapClosed=0.16149211259475393 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=27 driftAbs=0.16175598906995703 gapClosed=0.16149211259475393 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=28 driftAbs=0.1853995685000371 gapClosed=0.18519372080098329 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=29 driftAbs=0.1853995685000371 gapClosed=0.18519372080098329 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=30 driftAbs=0.1853995685000371 gapClosed=0.18519372080098329 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=31 driftAbs=0.20854256160314194 gapClosed=0.2084131990912006 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=32 driftAbs=0.20854256160314194 gapClosed=0.2084131990912006 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=33 driftAbs=0.20854256160314194 gapClosed=0.2084131990912006 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=34 driftAbs=0.20854256160314194 gapClosed=0.2084131990912006 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=35 driftAbs=0.2312055362658948 gapClosed=0.23115010894647803 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=36 driftAbs=0.2312055362658948 gapClosed=0.23115010894647803 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=37 driftAbs=0.2312055362658948 gapClosed=0.23115010894647803 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=38 driftAbs=0.2312055362658948 gapClosed=0.23115010894647803 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=39 driftAbs=0.2543953615929354 gapClosed=0.25436898401892805 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=40 driftAbs=0.2543953615929354 gapClosed=0.25436898401892805 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=41 driftAbs=0.2543953615929354 gapClosed=0.25436898401892805 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=42 driftAbs=0.2543953615929354 gapClosed=0.25436898401892805 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=43 driftAbs=0.2543953615929354 gapClosed=0.25436898401892805 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=44 driftAbs=0.2771082820848196 gapClosed=0.27710489639595437 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=45 driftAbs=0.2771082820848196 gapClosed=0.27710489639595437 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=46 driftAbs=0.2771082820848196 gapClosed=0.27710489639595437 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=47 driftAbs=0.2771082820848196 gapClosed=0.27710489639595437 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=48 driftAbs=0.3007191380674001 gapClosed=0.3007157761071415 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=49 driftAbs=0.3007191380674001 gapClosed=0.3007157761071415 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=50 driftAbs=0.3007191380674001 gapClosed=0.3007157761071415 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=51 driftAbs=0.3007191380674001 gapClosed=0.3007157761071415 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=52 driftAbs=0.3007191380674001 gapClosed=0.3007157761071415 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=53 driftAbs=0.3230000000000006 gapClosed=0.32296692797834403 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=54 driftAbs=0.3230000000000006 gapClosed=0.32296692797834403 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=55 driftAbs=0.3230000000000006 gapClosed=0.32296692797834403 timeBefore=3.2999999999999976
[f1577-3-sweep] tickBefore=39 tickDelta=56 driftAbs=0.3230000000000006 gapClosed=0.32296692797834403 timeBefore=3.2999999999999976
